20,"('m', 0.9809659607708454)","('n', 0.9585937224328518)","('o', 0.937853466719389)","('ş', 0.9303505420684814)","('g', 0.9165839999914169)","('s', 0.915496788918972)","('e', 0.9114305302500725)","('z', 0.9103425815701485)","('v', 0.907791867852211)","('p', 0.892126739025116)","('t', 0.8918938040733337)","('ç', 0.8865983188152313)","('ğ', 0.8831733241677284)","('y', 0.872856080532074)","('f', 0.8712232857942581)","('h', 0.8701453059911728)","('c', 0.8686209172010422)","('ö', 0.8639948517084122)","('a', 0.849689319729805)","('d', 0.833100825548172)","('ü', 0.8324351757764816)","('b', 0.8315833210945129)","(',', 0.8243631422519684)","('k', 0.773286983370781)","('r', 0.7473679482936859)","('j', 0.7104026973247528)","('i', 0.44059455394744873)","('ı', 0.32585304975509644)","('l', 0.0)"
21,"(',', 0.697035163640976)","('e', 0.5970248579978943)","('a', 0.5789434313774109)","('n', 0.5638534724712372)","('s', 0.5512439608573914)","('i', 0.5505321323871613)","('g', 0.5435335636138916)","('ı', 0.5369307100772858)","('z', 0.5285970270633698)","('o', 0.5232865810394287)","('m', 0.5060251951217651)","('p', 0.49834275245666504)","('ş', 0.4952859878540039)","('ğ', 0.47382062673568726)","('t', 0.460249662399292)","('b', 0.45450258255004883)","('c', 0.4534022808074951)","('d', 0.4478784203529358)","('h', 0.44607967138290405)","('ç', 0.42568910121917725)","('ü', 0.4169524908065796)","('ö', 0.4160439372062683)","('v', 0.4111419916152954)","('f', 0.3958805203437805)","('r', 0.3927052617073059)","('k', 0.38853752613067627)","('y', 0.37379658222198486)","('j', 0.3507978320121765)","('l', 0.0)"
22,"('g', 0.957718413323164)","('o', 0.9554235003888607)","('s', 0.9541694633662701)","('ğ', 0.9511043541133404)","('z', 0.9477982111275196)","('e', 0.9296245947480202)","('t', 0.9250887036323547)","('h', 0.9250172153115273)","('ö', 0.920044980943203)","('b', 0.9099566638469696)","('ş', 0.9052600860595703)","('ü', 0.9035160318017006)","('n', 0.9030944406986237)","('c', 0.897710956633091)","('v', 0.8862237259745598)","('m', 0.8838115185499191)","('ç', 0.8796408325433731)","('a', 0.8762882053852081)","('d', 0.8692260980606079)","('p', 0.8611934334039688)","('y', 0.8499367982149124)","('f', 0.8400220423936844)","('k', 0.8300822079181671)","(',', 0.8176226913928986)","('r', 0.7355050444602966)","('j', 0.7180792987346649)","('i', 0.4595130681991577)","('ı', 0.332785964012146)","('l', 0.0)"
23,"('m', 0.9851628141477704)","('n', 0.9613848440349102)","('o', 0.932774692773819)","('ş', 0.9294979944825172)","('g', 0.9139861240983009)","('e', 0.9133822917938232)","('s', 0.9124606773257256)","('z', 0.9061049073934555)","('p', 0.9056989848613739)","('v', 0.9049487337470055)","('t', 0.8934852108359337)","('ç', 0.8919025138020515)","('ğ', 0.8801020681858063)","('c', 0.8774804025888443)","('f', 0.8769936859607697)","('h', 0.8758647218346596)","('y', 0.8754438385367393)","('ö', 0.8601042628288269)","('a', 0.8396064043045044)","('b', 0.8367965817451477)","('ü', 0.8273318409919739)","('d', 0.8215807974338531)","(',', 0.8173901289701462)","('k', 0.7823909968137741)","('r', 0.7617185413837433)","('j', 0.6969471275806427)","('i', 0.4402529001235962)","('ı', 0.3258167505264282)","('l', 0.0)"
24,"('g', 0.9609619230031967)","('o', 0.9581667222082615)","('s', 0.9576772190630436)","('z', 0.9495804235339165)","('ğ', 0.9482980296015739)","('e', 0.9339885637164116)","('t', 0.9233987778425217)","('h', 0.9217536225914955)","('ö', 0.9160464853048325)","('n', 0.9067486003041267)","('ş', 0.9065144956111908)","('b', 0.9063797369599342)","('ü', 0.8995154350996017)","('c', 0.8960340023040771)","('m', 0.8861004635691643)","('v', 0.8850668892264366)","('ç', 0.87847850471735)","('a', 0.8784521073102951)","('d', 0.8681357055902481)","('p', 0.8623565286397934)","('y', 0.8483528792858124)","('f', 0.8392169773578644)","('k', 0.8268133103847504)","(',', 0.8213769197463989)","('r', 0.7349719703197479)","('j', 0.7172451019287109)","('i', 0.46054017543792725)","('ı', 0.3343833088874817)","('l', 0.0)"
25,"('d', 0.9690393432974815)","('a', 0.9291409477591515)","('ü', 0.9028357863426208)","('z', 0.8954891934990883)","('ğ', 0.8952029719948769)","('o', 0.8918424844741821)","('s', 0.8893516659736633)","('g', 0.8872324004769325)","('ö', 0.887073464691639)","('e', 0.8521730154752731)","('t', 0.8480729907751083)","('ş', 0.8457016944885254)","('v', 0.8396509736776352)","('n', 0.8378676772117615)","(',', 0.830675944685936)","('m', 0.8247294276952744)","('h', 0.8241518884897232)","('j', 0.8184356987476349)","('b', 0.8146293610334396)","('ç', 0.8015900701284409)","('c', 0.7945578247308731)","('y', 0.788476288318634)","('f', 0.7675950825214386)","('p', 0.7627049386501312)","('k', 0.7294375002384186)","('r', 0.6256020963191986)","('i', 0.4588512182235718)","('ı', 0.3278563618659973)","('l', 0.0)"
26,"('o', 0.9939246559515595)","('g', 0.9703481234610081)","('s', 0.9687764775007963)","('z', 0.9605077691376209)","('n', 0.9407330453395844)","('e', 0.940483782440424)","('ş', 0.933234192430973)","('ğ', 0.931400328874588)","('m', 0.922040194272995)","('t', 0.9197164922952652)","('v', 0.9021080806851387)","('ö', 0.900604598224163)","('h', 0.8975168243050575)","('ç', 0.8857887014746666)","('a', 0.8852682933211327)","('c', 0.8836787715554237)","('ü', 0.8765537291765213)","('p', 0.873547837138176)","('b', 0.868953138589859)","('d', 0.8687315434217453)","('y', 0.8602155596017838)","('f', 0.8532192409038544)","(',', 0.8389717787504196)","('k', 0.7956813722848892)","('r', 0.7313750684261322)","('j', 0.7288761138916016)","('i', 0.45774829387664795)","('ı', 0.3324548602104187)","('l', 0.0)"
27,"('z', 0.9615084454417229)","('ğ', 0.9533385150134563)","('o', 0.9465915262699127)","('g', 0.9464381746947765)","('s', 0.9453234560787678)","('ö', 0.9263816326856613)","('t', 0.9184288308024406)","('ş', 0.916231743991375)","('d', 0.9136212095618248)","('ü', 0.9109862446784973)","('v', 0.8991965055465698)","('a', 0.8959402516484261)","('e', 0.8942420333623886)","('n', 0.8889947384595871)","('h', 0.8806921541690826)","('m', 0.8762781471014023)","('ç', 0.8728027492761612)","('c', 0.8608161360025406)","('b', 0.8574046939611435)","('y', 0.8532921373844147)","('f', 0.8374037891626358)","('p', 0.8297981768846512)","(',', 0.8276508450508118)","('k', 0.7791165709495544)","('j', 0.7789384573698044)","('r', 0.6934691071510315)","('i', 0.4599143862724304)","('ı', 0.31827491521835327)","('l', 0.0)"
28,"('g', 0.9577817395329475)","('o', 0.9554014541208744)","('s', 0.9542468041181564)","('ğ', 0.950771652162075)","('z', 0.9477166421711445)","('e', 0.9299477785825729)","('h', 0.9249827265739441)","('t', 0.9249493107199669)","('ö', 0.9196539968252182)","('b', 0.9099691957235336)","('ş', 0.90522251278162)","('n', 0.9032771438360214)","('ü', 0.9031327962875366)","('c', 0.8977645859122276)","('v', 0.8860140144824982)","('m', 0.8838813304901123)","('ç', 0.8795641139149666)","('a', 0.8762258142232895)","('d', 0.8688890486955643)","('p', 0.8613791167736053)","('y', 0.8497797697782516)","('f', 0.8399539142847061)","('k', 0.8301233053207397)","(',', 0.8177365660667419)","('r', 0.735673189163208)","('j', 0.7177377343177795)","('i', 0.4595854878425598)","('ı', 0.33292442560195923)","('l', 0.0)"
29,"('ı', 0.6742393374443054)","('i', 0.5121095776557922)","(',', 0.45727914571762085)","('e', 0.36180561780929565)","('a', 0.344573974609375)","('n', 0.31418776512145996)","('s', 0.3075030446052551)","('g', 0.29938220977783203)","('z', 0.2811654210090637)","('o', 0.27595341205596924)","('p', 0.2543162703514099)","('m', 0.2497934103012085)","('ş', 0.23663264513015747)","('b', 0.23360151052474976)","('ğ', 0.2292478084564209)","('c', 0.21386414766311646)","('t', 0.21010714769363403)","('h', 0.2094234824180603)","('d', 0.20134484767913818)","('ü', 0.17734897136688232)","('k', 0.17460626363754272)","('r', 0.17240941524505615)","('ç', 0.16849982738494873)","('ö', 0.16780716180801392)","('v', 0.14701271057128906)","('f', 0.13189518451690674)","('y', 0.10745847225189209)","('j', 0.09211397171020508)","('l', 0.0)"
